circuit_name,num_qubits,attack_type,noise_rate,tvd,risk_score,expected_label,predicted_label,correct
dnn_n2.qasm,2,Multiple Gate Insertion,0.005,0.25,97.9,1,1,True
dnn_n2.qasm,2,Normal,0.01,0.26,42.93,0,0,True
dnn_n2.qasm,2,Gate Insertion,0.01,0.375,79.72,1,1,True
dnn_n2.qasm,2,Gate Deletion,0.01,0.375,78.66,1,1,True
dnn_n2.qasm,2,Gate Substitution,0.01,0.335,65.2,1,1,True
dnn_n2.qasm,2,Multiple Gate Insertion,0.01,0.345,95.62,1,1,True
dnn_n2.qasm,2,Normal,0.02,0.305,53.55,0,1,False
dnn_n2.qasm,2,Gate Insertion,0.02,0.415,79.4,1,1,True
dnn_n2.qasm,2,Gate Deletion,0.02,0.39,70.17,1,1,True
dnn_n2.qasm,2,Gate Substitution,0.02,0.44,78.4,1,1,True
dnn_n2.qasm,2,Multiple Gate Insertion,0.02,0.405,95.6,1,1,True
dnn_n2.qasm,2,Normal,0.03,0.43,77.76,0,1,False
dnn_n2.qasm,2,Gate Insertion,0.03,0.3,56.48,1,1,True
dnn_n2.qasm,2,Gate Deletion,0.03,0.39,70.17,1,1,True
dnn_n2.qasm,2,Gate Substitution,0.03,0.385,68.68,1,1,True
dnn_n2.qasm,2,Multiple Gate Insertion,0.03,0.38,94.05,1,1,True
dnn_n2.qasm,2,Normal,0.04,0.385,68.68,0,1,False
dnn_n2.qasm,2,Gate Insertion,0.04,0.4,79.4,1,1,True
dnn_n2.qasm,2,Gate Deletion,0.04,0.355,60.04,1,1,True
dnn_n2.qasm,2,Gate Substitution,0.04,0.32,53.55,1,1,True
dnn_n2.qasm,2,Multiple Gate Insertion,0.04,0.395,95.6,1,1,True
dnn_n2.qasm,2,Normal,0.05,0.39,70.17,0,1,False
dnn_n2.qasm,2,Gate Insertion,0.05,0.365,70.75,1,1,True
dnn_n2.qasm,2,Gate Deletion,0.05,0.41,77.76,1,1,True
dnn_n2.qasm,2,Gate Substitution,0.05,0.38,68.68,1,1,True
dnn_n2.qasm,2,Multiple Gate Insertion,0.05,0.365,94.05,1,1,True
dnn_n8.qasm,8,Normal,0.005,0.67,32.28,0,0,True
dnn_n8.qasm,8,Gate Insertion,0.005,0.695,98.49,1,1,True
dnn_n8.qasm,8,Gate Deletion,0.005,0.815,32.28,1,0,False
dnn_n8.qasm,8,Gate Substitution,0.005,0.735,75.13,1,1,True
dnn_n8.qasm,8,Multiple Gate Insertion,0.005,0.765,96.9,1,1,True
dnn_n8.qasm,8,Normal,0.01,0.785,31.9,0,0,True
dnn_n8.qasm,8,Gate Insertion,0.01,0.795,98.47,1,1,True
dnn_n8.qasm,8,Gate Deletion,0.01,0.76,31.9,1,0,False
dnn_n8.qasm,8,Gate Substitution,0.01,0.775,74.79,1,1,True
dnn_n8.qasm,8,Multiple Gate Insertion,0.01,0.755,96.87,1,1,True
dnn_n8.qasm,8,Normal,0.02,0.785,30.85,0,0,True
dnn_n8.qasm,8,Gate Insertion,0.02,0.8,98.4,1,1,True
dnn_n8.qasm,8,Gate Deletion,0.02,0.815,30.85,1,0,False
dnn_n8.qasm,8,Gate Substitution,0.02,0.815,73.86,1,1,True
dnn_n8.qasm,8,Multiple Gate Insertion,0.02,0.775,96.72,1,1,True
dnn_n8.qasm,8,Normal,0.03,0.785,30.85,0,0,True
dnn_n8.qasm,8,Gate Insertion,0.03,0.755,98.4,1,1,True
dnn_n8.qasm,8,Gate Deletion,0.03,0.82,30.85,1,0,False
dnn_n8.qasm,8,Gate Substitution,0.03,0.825,73.86,1,1,True
dnn_n8.qasm,8,Multiple Gate Insertion,0.03,0.775,96.72,1,1,True
dnn_n8.qasm,8,Normal,0.04,0.815,30.85,0,0,True
dnn_n8.qasm,8,Gate Insertion,0.04,0.835,98.4,1,1,True
dnn_n8.qasm,8,Gate Deletion,0.04,0.795,30.85,1,0,False
dnn_n8.qasm,8,Gate Substitution,0.04,0.775,73.86,1,1,True
dnn_n8.qasm,8,Multiple Gate Insertion,0.04,0.79,96.72,1,1,True
dnn_n8.qasm,8,Normal,0.05,0.8,30.85,0,0,True
dnn_n8.qasm,8,Gate Insertion,0.05,0.79,98.4,1,1,True
dnn_n8.qasm,8,Gate Deletion,0.05,0.805,30.85,1,0,False
dnn_n8.qasm,8,Gate Substitution,0.05,0.835,73.86,1,1,True
dnn_n8.qasm,8,Multiple Gate Insertion,0.05,0.795,96.72,1,1,True
error_correctiond3_n5.qasm,5,Normal,0.005,0.3,36.2,0,0,True
error_correctiond3_n5.qasm,5,Gate Insertion,0.005,0.475,68.79,1,1,True
error_correctiond3_n5.qasm,5,Gate Deletion,0.005,0.495,71.13,1,1,True
error_correctiond3_n5.qasm,5,Gate Substitution,0.005,0.5,97.93,1,1,True
error_correctiond3_n5.qasm,5,Multiple Gate Insertion,0.005,0.715,99.65,1,1,True
error_correctiond3_n5.qasm,5,Normal,0.01,0.435,48.61,0,0,True
error_correctiond3_n5.qasm,5,Gate Insertion,0.01,0.48,63.19,1,1,True
error_correctiond3_n5.qasm,5,Gate Deletion,0.01,0.545,70.33,1,1,True
error_correctiond3_n5.qasm,5,Gate Substitution,0.01,0.56,97.85,1,1,True
error_correctiond3_n5.qasm,5,Multiple Gate Insertion,0.01,0.625,99.64,1,1,True
error_correctiond3_n5.qasm,5,Normal,0.02,0.43,34.37,0,0,True
error_correctiond3_n5.qasm,5,Gate Insertion,0.02,0.515,72.5,1,1,True
error_correctiond3_n5.qasm,5,Gate Deletion,0.02,0.535,73.23,1,1,True
error_correctiond3_n5.qasm,5,Gate Substitution,0.02,0.485,97.89,1,1,True
error_correctiond3_n5.qasm,5,Multiple Gate Insertion,0.02,0.515,99.65,1,1,True
error_correctiond3_n5.qasm,5,Normal,0.03,0.445,36.64,0,0,True
error_correctiond3_n5.qasm,5,Gate Insertion,0.03,0.505,72.5,1,1,True
error_correctiond3_n5.qasm,5,Gate Deletion,0.03,0.5,73.23,1,1,True
error_correctiond3_n5.qasm,5,Gate Substitution,0.03,0.55,97.89,1,1,True
error_correctiond3_n5.qasm,5,Multiple Gate Insertion,0.03,0.555,99.65,1,1,True
error_correctiond3_n5.qasm,5,Normal,0.04,0.485,70.69,0,1,False
error_correctiond3_n5.qasm,5,Gate Insertion,0.04,0.525,72.5,1,1,True
error_correctiond3_n5.qasm,5,Gate Deletion,0.04,0.54,73.23,1,1,True
error_correctiond3_n5.qasm,5,Gate Substitution,0.04,0.565,97.89,1,1,True
error_correctiond3_n5.qasm,5,Multiple Gate Insertion,0.04,0.525,99.65,1,1,True
error_correctiond3_n5.qasm,5,Normal,0.05,0.475,48.98,0,0,True
error_correctiond3_n5.qasm,5,Gate Insertion,0.05,0.54,72.5,1,1,True
error_correctiond3_n5.qasm,5,Gate Deletion,0.05,0.52,73.23,1,1,True
error_correctiond3_n5.qasm,5,Gate Substitution,0.05,0.48,94.86,1,1,True
error_correctiond3_n5.qasm,5,Multiple Gate Insertion,0.05,0.495,99.65,1,1,True
fredkin_n3.qasm,3,Normal,0.005,0.065,5.12,0,0,True
fredkin_n3.qasm,3,Gate Insertion,0.005,0.065,98.75,1,1,True
fredkin_n3.qasm,3,Gate Deletion,0.005,0.78,98.45,1,1,True
fredkin_n3.qasm,3,Gate Substitution,0.005,0.095,90.04,1,1,True
fredkin_n3.qasm,3,Multiple Gate Insertion,0.005,0.505,99.33,1,1,True
fredkin_n3.qasm,3,Normal,0.01,0.15,11.97,0,0,True
fredkin_n3.qasm,3,Gate Insertion,0.01,0.11,97.46,1,1,True
fredkin_n3.qasm,3,Gate Deletion,0.01,0.73,98.28,1,1,True
fredkin_n3.qasm,3,Gate Substitution,0.01,0.145,94.59,1,1,True
fredkin_n3.qasm,3,Multiple Gate Insertion,0.01,0.575,99.37,1,1,True
fredkin_n3.qasm,3,Normal,0.02,0.275,37.16,0,0,True
fredkin_n3.qasm,3,Gate Insertion,0.02,0.285,96.52,1,1,True
fredkin_n3.qasm,3,Gate Deletion,0.02,0.795,98.67,1,1,True
fredkin_n3.qasm,3,Gate Substitution,0.02,0.265,94.59,1,1,True
fredkin_n3.qasm,3,Multiple Gate Insertion,0.02,0.62,99.52,1,1,True
fredkin_n3.qasm,3,Normal,0.03,0.355,78.45,0,1,False
fredkin_n3.qasm,3,Gate Insertion,0.03,0.295,95.24,1,1,True
fredkin_n3.qasm,3,Gate Deletion,0.03,0.785,98.67,1,1,True
fredkin_n3.qasm,3,Gate Substitution,0.03,0.335,93.71,1,1,True
fredkin_n3.qasm,3,Multiple Gate Insertion,0.03,0.62,99.52,1,1,True
fredkin_n3.qasm,3,Normal,0.04,0.48,96.06,0,1,False
fredkin_n3.qasm,3,Gate Insertion,0.04,0.39,96.45,1,1,True
fredkin_n3.qasm,3,Gate Deletion,0.04,0.845,98.67,1,1,True
fredkin_n3.qasm,3,Gate Substitution,0.04,0.46,98.52,1,1,True
fredkin_n3.qasm,3,Multiple Gate Insertion,0.04,0.68,99.52,1,1,True
fredkin_n3.qasm,3,Normal,0.05,0.53,98.67,0,1,False
fredkin_n3.qasm,3,Gate Insertion,0.05,0.515,99.52,1,1,True
fredkin_n3.qasm,3,Gate Deletion,0.05,0.74,98.67,1,1,True
fredkin_n3.qasm,3,Gate Substitution,0.05,0.465,98.52,1,1,True
fredkin_n3.qasm,3,Multiple Gate Insertion,0.05,0.675,99.52,1,1,True
grover_n2.qasm,2,Normal,0.005,0.05,4.94,0,0,True
grover_n2.qasm,2,Gate Insertion,0.005,0.54,98.66,1,1,True
grover_n2.qasm,2,Gate Deletion,0.005,0.995,98.66,1,1,True
grover_n2.qasm,2,Gate Substitution,0.005,0.485,98.66,1,1,True
grover_n2.qasm,2,Multiple Gate Insertion,0.005,0.53,99.71,1,1,True
grover_n2.qasm,2,Normal,0.01,0.14,23.95,0,0,True
grover_n2.qasm,2,Gate Insertion,0.01,0.535,98.69,1,1,True
grover_n2.qasm,2,Gate Deletion,0.01,0.94,98.69,1,1,True
grover_n2.qasm,2,Gate Substitution,0.01,0.56,98.69,1,1,True
grover_n2.qasm,2,Multiple Gate Insertion,0.01,0.475,99.58,1,1,True
